city_municipality,neighborhood_district,province
Haarlemmermeer,Halfweg,Noord-Holland
Haarlemmermeer,Abbenes,Noord-Holland
Haarlemmermeer,Lisserbroek,Noord-Holland
Amstelveen,Stadshart,Noord-Holland
Amstelveen,Randwijck,Noord-Holland
Amstelveen,Keizer Karelpark,Noord-Holland
Amstelveen,Elsrijk,Noord-Holland
Amstelveen,Westwijk,Noord-Holland
Amstelveen,Bovenkerk,Noord-Holland
Amstelveen,Kostverloren,Noord-Holland
Amstelveen,Bankras,Noord-Holland
Zaanstad,Zaandam,Noord-Holland
Zaanstad,Zaandijk,Noord-Holland
Zaanstad,Koog aan de Zaan,Noord-Holland
Zaanstad,Wormerveer,Noord-Holland
Zaanstad,Krommenie,Noord-Holland
Zaanstad,Assendelft,Noord-Holland
Zaanstad,Westzaan,Noord-Holland
Zaanstad,Oostzaan,Noord-Holland
Zoetermeer,Dorpsstraat,Zuid-Holland
Zoetermeer,Meerzicht,Zuid-Holland
Zoetermeer,Noordhoven,Zuid-Holland
Zoetermeer,Rokkeveen,Zuid-Holland
Zoetermeer,Seghwaert,Zuid-Holland
Zoetermeer,Buytenwegh de Leyens,Zuid-Holland
Zoetermeer,Oosterheem,Zuid-Holland
Zoetermeer,Palandermolen,Zuid-Holland
Zoetermeer,Zoetermeer Centrum,Zuid-Holland
Alkmaar,Centrum,Noord-Holland
Alkmaar,Overdie,Noord-Holland
Alkmaar,Huiswaard,Noord-Holland
Alkmaar,Oudorp,Noord-Holland
Alkmaar,Bergen,Noord-Holland
Alkmaar,De Hoef,Noord-Holland
Alkmaar,Bloemwijk,Noord-Holland
Alkmaar,Koedijk,Noord-Holland
Alphen aan den Rijn,Centrum,Zuid-Holland
Alphen aan den Rijn,Aarlanderveen,Zuid-Holland
Alphen aan den Rijn,Hazerswoude,Zuid-Holland
Alphen aan den Rijn,Koudekerk aan den Rijn,Zuid-Holland
Alphen aan den Rijn,Ridderbuurt,Zuid-Holland
Alphen aan den Rijn,Hengelo,Zuid-Holland
Helmond,Centrum,Noord-Brabant
Helmond,Stiphout,Noord-Brabant
Helmond,Mierlo-Hout,Noord-Brabant
Helmond,Brouwhuis,Noord-Brabant
Helmond,Helmond-Oost,Noord-Brabant
Helmond,Rijpelberg,Noord-Brabant
Helmond,Dierdonk,Noord-Brabant
Helmond,Brandevoort,Noord-Brabant
Schiedam,Centrum,Zuid-Holland
Schiedam,West,Zuid-Holland
Schiedam,Noord,Zuid-Holland
Schiedam,Oost,Zuid-Holland
Schiedam,Nieuwland,Zuid-Holland
Schiedam,Woudhoek,Zuid-Holland
Schiedam,Kethel,Zuid-Holland
Emmen,Centrum,Drenthe
Emmen,Bargeres,Drenthe
Emmen,Emmermeer,Drenthe
Emmen,Parc Sandur,Drenthe
Emmen,Rietlanden,Drenthe
Emmen,Barger-Oosterveld,Drenthe
Emmen,Erica,Drenthe
Emmen,Klazienaveen,Drenthe
Emmen,Nieuw-Amsterdam,Drenthe
Venlo,Centrum,Limburg
Venlo,Blerick,Limburg
Venlo,Tegelen,Limburg
Venlo,Steyl,Limburg
Venlo,Herungerberg,Limburg
Venlo,Kern,Limburg
Venlo,Hagerbroek,Limburg
Venlo,Venlo-Oost,Limburg
Deventer,Centrum,Overijssel
Deventer,Diepenveen,Overijssel
Deventer,Bathmen,Overijssel
Deventer,Colmschate,Overijssel
Deventer,Schalkhaar,Overijssel
Deventer,Vorchten,Overijssel
Deventer,Lettele,Overijssel
Ede,Centrum,Gelderland
Ede,Bennekom,Gelderland
Ede,Ede-Oost,Gelderland
Ede,Ede-West,Gelderland
Ede,Ede-Zuid,Gelderland
Ede,Lunteren,Gelderland
Ede,Otterlo,Gelderland
Ede,Harskamp,Gelderland
Gouda,Centrum,Zuid-Holland
Gouda,Bloemendaal,Zuid-Holland
Gouda,Goverwelle,Zuid-Holland
Gouda,Kort Haarlem,Zuid-Holland
Gouda,Oosterwei,Zuid-Holland
Gouda,Plaswijck,Zuid-Holland
Gouda,Reeuwijk,Zuid-Holland
Assen,Centrum,Drenthe
Assen,Kloosterveen,Drenthe
Assen,Schiphorst,Drenthe
Assen,Loon,Drenthe
Assen,Peelo,Drenthe
Assen,Zeijerveen,Drenthe
Assen,Zeijen,Drenthe
Hengelo,Centrum,Overijssel
Hengelo,Hengelo-Oost,Overijssel
Hengelo,Hengelo-West,Overijssel
Hengelo,De Noork,Overijssel
Hengelo,Berghuizen,Overijssel
Hengelo,Bornsevoort,Overijssel
Hengelo,Hasselinklanden,Overijssel
Hengelo,Lindenhof,Overijssel
Lelystad,Centrum,Flevoland
Lelystad,Lelystad-Haven,Flevoland
Lelystad,Buitengebied,Flevoland
Lelystad,Boswijk,Flevoland
Lelystad,Stadswijk,Flevoland
Lelystad,Waterwijk,Flevoland
Lelystad,Hollandse Hout,Flevoland
Roosendaal,Centrum,Noord-Brabant
Roosendaal,Wouw,Noord-Brabant
Roosendaal,Heerle,Noord-Brabant
Roosendaal,Nispen,Noord-Brabant
Roosendaal,Sint Willebrord,Noord-Brabant
Roosendaal,Wouwse Plantage,Noord-Brabant
Roosendaal,Kalsdonk,Noord-Brabant
Bergen op Zoom,Centrum,Noord-Brabant
Bergen op Zoom,Lewedorp,Noord-Brabant
Bergen op Zoom,Oudelande,Noord-Brabant
Bergen op Zoom,Zuidgeest,Noord-Brabant
Bergen op Zoom,Noordgeest,Noord-Brabant
Middelburg,Centrum,Zeeland
Middelburg,A B C wijk,Zeeland
Middelburg,D E F wijk,Zeeland
Middelburg,G H wijk,Zeeland
Middelburg,Mortiere,Zeeland
Middelburg,Nieuw-Middelburg,Zeeland
Middelburg,Brigdamme,Zeeland
Vlissingen,Centrum,Zeeland
Vlissingen,Binnenstad,Zeeland
Vlissingen,Vlissingen-Oost,Zeeland
Vlissingen,Vlissingen-West,Zeeland
Vlissingen,Groot-Lindenhof,Zeeland
Vlissingen,Klein-Lindenhof,Zeeland
Hoogeveen,Centrum,Drenthe
Hoogeveen,Ermerveen,Drenthe
Hoogeveen,Fluitenberg,Drenthe
Hoogeveen,Hollandscheveld,Drenthe
Hoogeveen,Nieuweroord,Drenthe
Hoogeveen,Pesse,Drenthe
Hoogeveen,Stuifzand,Drenthe
Heerenveen,Centrum,Friesland
Heerenveen,Bontebok,Friesland
Heerenveen,Nieuwehorne,Friesland
Heerenveen,Nieuweschoot,Friesland
Heerenveen,Oudehorne,Friesland
Heerenveen,Opsterland,Friesland
Heerenveen,Skarsterlân,Friesland
Heerlen,Centrum,Limburg
Heerlen,Welten,Limburg
Heerlen,Scharn,Limburg
Heerlen,Hoensbroek,Limburg
Heerlen,Heerlen-Zuid,Limburg
Heerlen,Heerlerbaan,Limburg
Heerlen,Heerlerheide,Limburg
Heerlen,Landgraaf,Limburg
Sittard-Geleen,Centrum,Limburg
Sittard-Geleen,Sittard,Limburg
Sittard-Geleen,Geleen,Limburg
Sittard-Geleen,Born,Limburg
Sittard-Geleen,Limbricht,Limburg
Sittard-Geleen,Munstergeleen,Limburg
Sittard-Geleen,Windraak,Limburg
Zeist,Centrum,Utrecht
Zeist,Austerlitz,Utrecht
Zeist,Bosch en Duin,Utrecht
Zeist,Den Dolder,Utrecht
Zeist,Huis ter Heide,Utrecht
Zeist,De Bilt,Utrecht
Zeist,Bilthoven,Utrecht
Nieuwegein,Centrum,Utrecht
Nieuwegein,Jutphaas,Utrecht
Nieuwegein,Vreeswijk,Utrecht
Nieuwegein,Hagestein,Utrecht
Nieuwegein,Maarssen,Utrecht
Nieuwegein,Stichtse Vecht,Utrecht
Veenendaal,Centrum,Utrecht
Veenendaal,De Vijfheerenlanden,Utrecht
Veenendaal,De Veldhoek,Utrecht
Veenendaal,De Wetering,Utrecht
Veenendaal,De Woerd,Utrecht
Spijkenisse,Centrum,Zuid-Holland
Spijkenisse,Simonshaven,Zuid-Holland
Spijkenisse,Zuidland,Zuid-Holland
Spijkenisse,Hekelingen,Zuid-Holland
Spijkenisse,Bernisse,Zuid-Holland
Katwijk,Centrum,Zuid-Holland
Katwijk,Katwijk aan Zee,Zuid-Holland
Katwijk,Katwijk aan den Rijn,Zuid-Holland
Katwijk,Rijnsburg,Zuid-Holland
Katwijk,Valkenburg,Zuid-Holland
Terneuzen,Centrum,Zeeland
Terneuzen,Axel,Zeeland
Terneuzen,Sas van Gent,Zeeland
Terneuzen,Sluiskil,Zeeland
Terneuzen,Westdorpe,Zeeland
Terneuzen,Zaamslag,Zeeland
Terneuzen,Hoek,Zeeland
Capelle aan den IJssel,Centrum,Zuid-Holland
Capelle aan den IJssel,Capelle-West,Zuid-Holland
Capelle aan den IJssel,Capelle-Oost,Zuid-Holland
Capelle aan den IJssel,Schoonhoven,Zuid-Holland
Capelle aan den IJssel,Schenkel,Zuid-Holland
Barneveld,Centrum,Gelderland
Barneveld,Garderen,Gelderland
Barneveld,Kootwijk,Gelderland
Barneveld,Voorthuizen,Gelderland
Barneveld,Terschuur,Gelderland
Barneveld,Zwartebroek,Gelderland
Harderwijk,Centrum,Gelderland
Harderwijk,Hierden,Gelderland
Harderwijk,Ermelo,Gelderland
Harderwijk,Putten,Gelderland
Harderwijk,Nunspeet,Gelderland
Kampen,Centrum,Overijssel
Kampen,IJsselmuiden,Overijssel
Kampen,Zalk,Overijssel
Kampen,Zuideinde,Overijssel
Kampen,De Roskam,Overijssel
Goes,Centrum,Zeeland
Goes,Goes-Oost,Zeeland
Goes,Goes-West,Zeeland
Goes,Kloetinge,Zeeland
Goes,Wilhelminadorp,Zeeland
Woerden,Centrum,Utrecht
Woerden,Harmelen,Utrecht
Woerden,Kamerik,Utrecht
Woerden,Papekop,Utrecht
Woerden,Zegveld,Utrecht
Hilversum,Centrum,Noord-Holland
Hilversum,Hilversum-Oost,Noord-Holland
Hilversum,Hilversum-Zuid,Noord-Holland
Hilversum,Hilversum-Noord,Noord-Holland
Hilversum,Laren,Noord-Holland
Hilversum,Blaricum,Noord-Holland
Purmerend,Centrum,Noord-Holland
Purmerend,Purmer-Noord,Noord-Holland
Purmerend,Purmer-Zuid,Noord-Holland
Purmerend,Wheermolen,Noord-Holland
Purmerend,De Gors,Noord-Holland
Hoorn,Centrum,Noord-Holland
Hoorn,Hoorn-Noord,Noord-Holland
Hoorn,Hoorn-Oost,Noord-Holland
Hoorn,Hoorn-Zuid,Noord-Holland
Hoorn,Blokker,Noord-Holland
Hoorn,Zwaag,Noord-Holland
Velsen,Centrum,Noord-Holland
Velsen,IJmuiden,Noord-Holland
Velsen,Velsen-Noord,Noord-Holland
Velsen,Santpoort-Noord,Noord-Holland
Velsen,Santpoort-Zuid,Noord-Holland
Velsen,Driehuis,Noord-Holland
